,predicted dendrite,real dendrite,ephys predicted creline,real creline,real e-type,ephys e-type predictions,real m-type,real me-type,ephys m-type predictions,ephys me-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
478,aspiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,468193142,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
479,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,558615201,,,,,,
480,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Inh_5,Spiny_3,ME_Exc_16,Spiny_15,ME_Exc_7,592816620,,,,,,
481,aspiny,aspiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Inh_7,Exc_1,,,Spiny_1,ME_Exc_7,565866518,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
482,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_9,Inh_6,,,Spiny_1,ME_Exc_7,321013314,,,,,,
483,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,488467273,,,,,,
484,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_12,Exc_1,,,Spiny_1,ME_Exc_7,486777819,,,,,,
485,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,561985849,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
486,spiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,476753465,,,,,,
487,aspiny,aspiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Exc_3,Inh_6,Spiny_9,ME_Exc_13,Spiny_1,ME_Exc_7,584681388,,,,,,
488,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,Spiny_5,ME_Exc_19,Spiny_1,ME_Exc_7,577369606,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
489,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,490263438,,,,,,
490,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Inh_11,Exc_1,Aspiny_9,ME_Inh_13,Spiny_1,ME_Exc_7,554454165,,,,,,
491,spiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2|Sst-IRES-FlpO,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,617745241,,,,,,
492,spiny,sparsely spiny,Chrna2-Cre_OE25,Vipr2-IRES2-Cre,Inh_9,Exc_1,,,Spiny_1,ME_Exc_7,580138266,,,,,,
493,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,569615443,,,,,,
494,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_2,Exc_1,,,Spiny_1,ME_Exc_7,570459682,,,,,,
495,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,581138223,,,,,,
496,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_1,Inh_6,Aspiny_18,ME_Inh_17,Spiny_1,ME_Exc_7,585018101,,,,,,
497,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,502269786,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
498,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_11,Inh_6,,,Spiny_1,ME_Exc_7,515199779,,,,,,
499,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,577821067,,,,,,
500,spiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_12,Inh_6,,,Spiny_1,ME_Exc_7,553006549,,,,,,
501,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,476764144,,,,,,
502,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,484744867,,,,,,
503,aspiny,aspiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,479679997,,,,,,
504,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_8,Inh_6,Aspiny_6,ME_Inh_21,Spiny_1,ME_Exc_7,526785742,,,,,,
505,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,464188580,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
506,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,Spiny_8,ME_Exc_13,Aspiny_4,ME_Exc_7,464368713,,,,,,
507,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,483061182,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
508,aspiny,aspiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Inh_5,,,Spiny_15,ME_Exc_7,488699635,,,,,,
509,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Inh_4,Exc_1,Aspiny_3,ME_Inh_22,Spiny_1,ME_Exc_7,602822298,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
510,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,Spiny_18,ME_Exc_2,Spiny_1,ME_Exc_7,578938449,,,,,,
511,spiny,aspiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,584665305,,,,,,
512,spiny,spiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,524857207,,,,,,
513,aspiny,aspiny,Gad2-IRES-Cre,Pvalb-IRES-Cre,Inh_1,Exc_1,,,Aspiny_4,ME_Inh_7,475550148,,,,,,
514,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_5,Exc_1,,,Spiny_1,ME_Exc_7,509779247,,,,,,
515,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,Spiny_18,ME_Exc_2,Spiny_1,ME_Exc_7,510455612,,,,,,
516,spiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,583312391,,,,,,
517,aspiny,aspiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_1,Inh_5,Aspiny_19,ME_Inh_19,Spiny_7,ME_Inh_24,488543754,,,,,,
518,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,Spiny_7,ME_Exc_14,Spiny_1,ME_Exc_7,579414994,,,,,,
519,aspiny,aspiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Exc_3,Exc_1,,,Spiny_15,ME_Exc_7,583645193,,,,,,
520,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_2,Inh_6,,,Spiny_1,ME_Exc_7,476100382,,,,,,
521,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,476178907,,,,,,
522,aspiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2|Sst-IRES-FlpO,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,516327568,,,,,,
523,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,517974394,,,,,,
524,aspiny,aspiny,Chrna2-Cre_OE25,Gad2-IRES-Cre,Exc_3,Inh_5,,,Spiny_15,ME_Exc_5,593398067,,,,,,
525,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_6,Inh_5,,,Aspiny_4,ME_Exc_7,466271455,,,,,,
526,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,581340781,,,,,,
527,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Exc_1,,,Spiny_15,ME_Exc_7,567007144,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_2
528,spiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,481003643,,,,,,
529,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,Spiny_4,ME_Exc_17,Spiny_1,ME_Exc_7,583422542,,,,,,
530,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_2,Exc_1,Spiny_17,ME_Exc_3,Spiny_1,ME_Exc_7,501736631,,,,,,
531,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_8,Exc_1,Aspiny_4,ME_Inh_9,Spiny_1,ME_Exc_7,478586425,,,,,,
532,aspiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Inh_1,Exc_1,Aspiny_18,ME_Inh_17,Spiny_1,ME_Exc_7,313862022,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
533,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,554779051,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
534,aspiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2|Sst-IRES-FlpO,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,517330781,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
535,spiny,spiny,Chrna2-Cre_OE25,Esr2-IRES2-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,562731565,,,,,,
536,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_4,Exc_1,,,Spiny_15,ME_Exc_7,570924514,,,,,,
537,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_12,Inh_6,,,Spiny_1,ME_Exc_7,484659182,,,,,,
538,spiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Inh_7,Exc_1,,,Spiny_1,ME_Exc_7,556687527,,,,,,
539,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_5,Inh_6,,,Spiny_1,ME_Exc_7,485490864,,,,,,
540,aspiny,aspiny,Chrna2-Cre_OE25,Vipr2-IRES2-Cre,Inh_6,Inh_5,,,Spiny_15,ME_Exc_7,569073509,,,,,,
541,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,515302868,,,,,,
542,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152|Pvalb-T2A-Dre,Inh_4,Exc_1,Aspiny_4,ME_Inh_23,Spiny_1,ME_Exc_7,590876255,,,,,,
543,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Inh_13,Inh_6,,,Spiny_1,ME_Exc_7,607124114,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
544,aspiny,sparsely spiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,565855793,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
545,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_4,Exc_1,,,Spiny_1,ME_Exc_7,481093098,,,,,,
546,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Inh_6,Spiny_3,ME_Exc_17,Spiny_1,ME_Exc_7,487661754,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
547,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_11,Inh_6,,,Spiny_1,ME_Exc_7,521399472,,,,,,
548,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,313861411,,,,,,
549,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,506777471,,,,,,
550,aspiny,aspiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,522676397,,,,,,
551,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,313861539,,,,,,
552,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Inh_5,Spiny_8,ME_Exc_13,Spiny_15,ME_Inh_24,576046388,,,,,,
553,aspiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,488680211,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
554,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,510395901,,,,,,
555,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_8,Exc_1,,,Spiny_1,ME_Exc_7,565236919,,,,,,
556,spiny,aspiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Inh_6,Spiny_19,ME_Exc_9,Spiny_1,ME_Exc_7,501940485,,,,,,
557,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,504635521,,,,,,
558,aspiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Exc_1,Spiny_19,ME_Exc_9,Spiny_1,ME_Exc_7,501848315,,,,,,
559,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_1,Exc_1,,,Spiny_1,ME_Exc_7,563796940,,,,,,
560,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_12,Exc_1,,,Spiny_1,ME_Exc_7,519220630,,,,,,
561,aspiny,sparsely spiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_6,Exc_1,Aspiny_12,ME_Inh_25,Spiny_1,ME_Exc_7,583141979,,,,,,
562,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Inh_6,Inh_6,,,Spiny_1,ME_Exc_7,349593629,,,,,,
563,aspiny,aspiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_9,Inh_6,,,Spiny_1,ME_Exc_7,484457747,,,,,,
564,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,396608557,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
565,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_1,Inh_6,Spiny_14,ME_Exc_4,Spiny_1,ME_Exc_7,485889190,,,,,,
566,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,488497498,,,,,,
567,aspiny,sparsely spiny,Chrna2-Cre_OE25,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,Inh_10,Exc_1,,,Spiny_1,ME_Exc_7,586074009,,,,,,
568,aspiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,323788096,,,,,,
569,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_4,Exc_1,,,Spiny_1,ME_Exc_7,484744672,,,,,,
570,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_12,Exc_1,,,Spiny_1,ME_Exc_7,488359338,,,,,,
571,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Inh_10,Exc_1,,,Spiny_1,ME_Exc_7,490205998,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
572,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_12,Exc_1,,,Spiny_1,ME_Exc_7,509522358,,,,,,
573,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,483068687,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
574,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Exc_3,Inh_6,Spiny_5,ME_Exc_18,Spiny_1,ME_Exc_7,477564985,,,,,,
575,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,515462796,,,,,,
576,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,563180078,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
577,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,574993444,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
578,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,500859045,,,,,,
579,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,322515253,,,,,,
580,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_13,Exc_1,Aspiny_8,ME_Inh_16,Spiny_1,ME_Exc_7,485455219,,,,,,
581,aspiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,486178939,,,,,,
582,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,324466628,,,,,,
583,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,568790226,,,,,,
584,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_4,Exc_1,,,Spiny_1,ME_Exc_7,518750800,,,,,,
585,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_3,Exc_1,Aspiny_14,ME_Inh_5,Spiny_1,ME_Exc_7,593646579,,,,,,
586,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_4,Exc_1,Spiny_12,ME_Exc_1,Spiny_1,ME_Exc_7,478793814,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
587,aspiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_3,Inh_5,,,Spiny_1,ME_Exc_7,490712265,,,,,,
588,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_7,Inh_6,,,Spiny_1,ME_Exc_7,488675026,,,,,,
589,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Inh_6,Spiny_7,ME_Exc_5,Spiny_1,ME_Exc_7,488677318,,,,,,
590,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,324257146,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_4
591,spiny,spiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,575201827,,,,,,
592,aspiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Inh_6,Inh_5,,,Aspiny_4,ME_Exc_7,515435668,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
593,aspiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2|Sst-IRES-FlpO,Exc_3,Inh_6,Spiny_4,ME_Exc_17,Spiny_1,ME_Exc_7,572424901,,,,,,
594,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,475838754,,,,,,
595,aspiny,sparsely spiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Exc_1,Spiny_6,ME_Exc_11,Spiny_1,ME_Exc_7,502382506,,,,,,
596,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,517319635,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
597,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,526939383,,,,,,
598,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_2,Inh_6,,,Spiny_1,ME_Exc_7,564692405,,,,,,
599,aspiny,aspiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Exc_3,Exc_1,Spiny_7,ME_Exc_13,Spiny_1,ME_Exc_7,578929342,,,,,,
600,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,485640247,,,,,,
601,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_4,Exc_1,Aspiny_4,ME_Inh_23,Spiny_1,ME_Exc_7,565880475,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
602,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Inh_13,Inh_6,Aspiny_4,ME_Inh_12,Spiny_1,ME_Exc_7,527864026,,,,,,
603,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_5,Inh_5,,,Spiny_15,ME_Exc_5,561940338,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
604,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_13,Inh_6,Aspiny_12,ME_Inh_11,Spiny_1,ME_Exc_7,487663469,,,,,,
605,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_11,Inh_6,,,Spiny_1,ME_Exc_7,322500634,,,,,,
606,aspiny,aspiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_12,Inh_6,,,Spiny_1,ME_Exc_7,490746462,,,,,,
607,aspiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2,Inh_9,Inh_6,,,Spiny_1,ME_Exc_7,560753350,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
608,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Inh_6,Spiny_6,ME_Exc_19,Spiny_1,ME_Exc_7,489751692,,,,,,
609,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Inh_5,Spiny_16,ME_Exc_6,Spiny_15,ME_Inh_24,593054951,,,,,,
610,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_12,Exc_1,Aspiny_10,ME_Inh_10,Spiny_1,ME_Exc_7,323838579,,,,,,
611,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_8,Inh_6,,,Spiny_1,ME_Exc_7,476823462,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
612,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Inh_7,Exc_1,Aspiny_13,ME_Inh_2,Spiny_15,ME_Exc_11,563790168,,,,,,
613,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Exc_1,Spiny_11,ME_Exc_6,Spiny_1,ME_Exc_7,482744155,,,,,,
614,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Aspiny_4,ME_Inh_7,466114829,,,,,,
615,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,490982660,,,,,,
616,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,572409429,,,,,,
617,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,484629749,,,,,,
618,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_12,Inh_6,Aspiny_8,ME_Inh_12,Spiny_1,ME_Exc_7,369697038,,,,,,
619,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152|Pvalb-T2A-Dre,Exc_3,Exc_1,Spiny_5,ME_Exc_18,Spiny_1,ME_Exc_7,585753841,,,,,,
620,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,479704527,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
621,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_5,Exc_1,Aspiny_2,ME_Inh_24,Spiny_1,ME_Exc_7,502978383,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
622,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_9,Inh_6,,,Spiny_1,ME_Exc_7,488501165,,,,,,
623,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,Spiny_18,ME_Exc_2,Spiny_1,ME_Exc_7,579283563,,,,,,
624,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_5,Inh_5,,,Spiny_15,ME_Exc_10,326774520,,,,,,
625,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,488438177,,,,,,
626,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,500879695,,,,,,
627,spiny,aspiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Inh_2,Inh_6,Aspiny_13,ME_Inh_2,Spiny_1,ME_Exc_7,573121877,,,,,,
